symbol,signal,horizon,n_on,mean_on,mean_off,diff,t_stat,win_rate_on
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_LVL1_P95,100,2108,-1.4779,1.2967,-2.7747,-1.16,0.508
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_LVL1_P95,100,2107,-1.3232,1.2849,-2.6081,-1.09,0.508
GALAXY_SOUNDS_DARK_MATTER,BIG_BID_LVL1_P99,100,2108,-1.4779,1.2967,-2.7747,-1.16,0.508
GALAXY_SOUNDS_DARK_MATTER,BIG_ASK_LVL1_P99,100,2107,-1.3232,1.2849,-2.6081,-1.09,0.508
GALAXY_SOUNDS_DARK_MATTER,TRADE_BIG_P95(>=4),1,179,0.0307,0.4792,-0.4485,-0.51,0.475
GALAXY_SOUNDS_DARK_MATTER,TRADE_BIG_P95(>=4),5,179,-0.5279,1.8619,-2.3898,-1.25,0.453
GALAXY_SOUNDS_DARK_MATTER,TRADE_BIG_P95(>=4),10,179,-0.0782,2.274,-2.3522,-0.9,0.486
GALAXY_SOUNDS_DARK_MATTER,TRADE_BIG_P95(>=4),30,179,-2.9246,3.3922,-6.3168,-1.41,0.464
GALAXY_SOUNDS_DARK_MATTER,TRADE_BIG_P95(>=4),100,177,-6.6469,6.9073,-13.5542,-1.45,0.497
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P95,1,2113,0.3284,-0.0375,0.3659,1.47,0.491
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P95,1,2112,0.1901,-0.027,0.2171,0.87,0.485
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P99,1,2113,0.3284,-0.0375,0.3659,1.47,0.491
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P99,1,2112,0.1901,-0.027,0.2171,0.87,0.485
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P95,5,2113,0.3043,-0.0877,0.3921,0.72,0.486
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P95,5,2112,0.1577,-0.0766,0.2343,0.43,0.482
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P99,5,2113,0.3043,-0.0877,0.3921,0.72,0.486
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P99,5,2112,0.1577,-0.0766,0.2343,0.43,0.482
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P95,10,2113,0.8573,-0.1913,1.0486,1.34,0.509
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P95,10,2112,0.6934,-0.1788,0.8722,1.11,0.507
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_BID_LVL1_P99,10,2113,0.8573,-0.1913,1.0486,1.34,0.509
GALAXY_SOUNDS_PLANETARY_RINGS,BIG_ASK_LVL1_P99,10,2112,0.6934,-0.1788,0.8722,1.11,0.507
