sharpe,win,mean_pnl_trade,max_dd,n_trades,total_pnl,symbol,strat
-14.154,0.679,-3.666,-131010.0,776,-130820.0,SNACKPACK_CHOCOLATE,zscore
-14.051,0.684,-5.224,-128835.0,760,-128670.0,SNACKPACK_VANILLA,zscore
-13.729,0.718,15.538,-99220.0,827,-99200.0,SNACKPACK_PISTACHIO,zscore
-13.161,0.684,25.236,-148015.0,826,-147880.0,SNACKPACK_STRAWBERRY,zscore
-11.617,0.718,39.564,-131295.0,826,-130805.0,SNACKPACK_RASPBERRY,zscore
