beta,sharpe,win,mean_pnl_trade,max_dd,n_trades,total_pnl,pair,strat
-0.254,2.501,0.365,-18.045,-2380.0,266,13640.0,SNACKPACK_PISTACHIO|SNACKPACK_STRAWBERRY,pair
-0.32,-1.252,0.582,21.035,-30160.0,256,-17980.0,SNACKPACK_CHOCOLATE|SNACKPACK_STRAWBERRY,pair
-0.283,-2.895,0.644,-8.054,-35575.0,239,-32690.0,SNACKPACK_VANILLA|SNACKPACK_PISTACHIO,pair
-1.07,0.2,0.434,-30.41,-19080.0,378,3510.0,SNACKPACK_CHOCOLATE|SNACKPACK_VANILLA,pair
-0.838,-1.167,0.602,81.289,-37650.0,322,-25415.0,SNACKPACK_STRAWBERRY|SNACKPACK_RASPBERRY,pair
-0.584,-1.147,0.549,24.542,-34735.0,273,-19695.0,SNACKPACK_PISTACHIO|SNACKPACK_RASPBERRY,pair
