sym,hs,skew,sz,maxI,d2,d3,d4,total
SOLAR_WINDS,8,2.0,10,3,-1743.5,4720.0,8896.5,11873.0
SOLAR_WINDS,8,2.0,10,5,-4931.5,4882.0,9640.0,9590.5
SOLAR_WINDS,8,2.0,10,7,-7517.5,5635.0,8858.0,6975.5
SOLAR_WINDS,8,2.0,10,10,-10809.0,6672.0,8007.5,3870.5
SOLAR_WINDS,8,3.0,5,3,-2228.5,4075.0,8371.5,10218.0
SOLAR_WINDS,8,3.0,5,5,-5050.5,4636.0,9567.0,9152.5
SOLAR_WINDS,8,3.0,5,7,-7741.5,5217.0,8595.0,6070.5
SOLAR_WINDS,8,3.0,5,10,-11097.0,6271.0,7588.5,2762.5
SOLAR_WINDS,8,3.0,10,3,-2228.5,4075.0,8371.5,10218.0
SOLAR_WINDS,8,3.0,10,5,-5050.5,4636.0,9567.0,9152.5
SOLAR_WINDS,8,3.0,10,7,-7741.5,5217.0,8595.0,6070.5
SOLAR_WINDS,8,3.0,10,10,-11097.0,6271.0,7588.5,2762.5
SOLAR_WINDS,8,5.0,5,3,-2409.5,3887.0,8213.5,9691.0
SOLAR_WINDS,8,5.0,5,5,-5256.5,4357.0,9263.0,8363.5
SOLAR_WINDS,8,5.0,5,7,-8048.5,4767.0,8285.0,5003.5
SOLAR_WINDS,8,5.0,5,10,-11246.0,6032.0,7407.5,2193.5
SOLAR_WINDS,8,5.0,10,3,-2409.5,3887.0,8213.5,9691.0
SOLAR_WINDS,8,5.0,10,5,-5256.5,4357.0,9263.0,8363.5
SOLAR_WINDS,8,5.0,10,7,-8048.5,4767.0,8285.0,5003.5
SOLAR_WINDS,8,5.0,10,10,-11246.0,6032.0,7407.5,2193.5
