sym,mode,N,entry,exit,cd,sz,d2,d3,d4,total
SOLAR_WINDS,hybr5,500,8,4.8,5,10,-7125.0,-16080.0,22715.0,-490.0
SOLAR_WINDS,hybr20,500,8,4.8,20,10,-11655.0,-19460.0,18615.0,-12500.0
SOLAR_WINDS,aggr,500,12,0.0,0,10,-6745.0,-20890.0,23375.0,-4260.0
SOLAR_WINDS,hybr1,500,12,0.0,1,10,-2825.0,-15150.0,24775.0,6800.0
SOLAR_WINDS,hybr5,500,12,0.0,5,10,-4035.0,-15000.0,21925.0,2890.0
SOLAR_WINDS,hybr20,500,12,0.0,20,10,-9265.0,-16940.0,17715.0,-8490.0
SOLAR_WINDS,aggr,500,12,3.5999999999999996,0,10,-10665.0,-25720.0,20485.0,-15900.0
SOLAR_WINDS,hybr1,500,12,3.5999999999999996,1,10,-6875.0,-19240.0,22625.0,-3490.0
SOLAR_WINDS,hybr5,500,12,3.5999999999999996,5,10,-5745.0,-18310.0,22805.0,-1250.0
SOLAR_WINDS,hybr20,500,12,3.5999999999999996,20,10,-10865.0,-17220.0,17915.0,-10170.0
SOLAR_WINDS,aggr,500,12,7.199999999999999,0,10,-14935.0,-27930.0,17755.0,-25110.0
SOLAR_WINDS,hybr1,500,12,7.199999999999999,1,10,-10585.0,-20600.0,20415.0,-10770.0
SOLAR_WINDS,hybr5,500,12,7.199999999999999,5,10,-7405.0,-18630.0,22205.0,-3830.0
SOLAR_WINDS,hybr20,500,12,7.199999999999999,20,10,-11605.0,-22680.0,17665.0,-16620.0
SOLAR_WINDS,aggr,500,16,0.0,0,10,-6005.0,-20410.0,23615.0,-2800.0
SOLAR_WINDS,hybr1,500,16,0.0,1,10,-3145.0,-16220.0,24745.0,5380.0
SOLAR_WINDS,hybr5,500,16,0.0,5,10,-2215.0,-13790.0,22485.0,6480.0
SOLAR_WINDS,hybr20,500,16,0.0,20,10,-8095.0,-17680.0,18735.0,-7040.0
SOLAR_WINDS,aggr,500,16,4.8,0,10,-11105.0,-23470.0,19665.0,-14910.0
SOLAR_WINDS,hybr1,500,16,4.8,1,10,-7355.0,-18760.0,21795.0,-4320.0
SOLAR_WINDS,hybr5,500,16,4.8,5,10,-6685.0,-17870.0,22585.0,-1970.0
SOLAR_WINDS,hybr20,500,16,4.8,20,10,-10905.0,-20510.0,19205.0,-12210.0
SOLAR_WINDS,aggr,500,16,9.6,0,10,-14535.0,-26380.0,18595.0,-22320.0
SOLAR_WINDS,hybr1,500,16,9.6,1,10,-10665.0,-20360.0,20705.0,-10320.0
SOLAR_WINDS,hybr5,500,16,9.6,5,10,-7545.0,-18850.0,21725.0,-4670.0
