a,b,kind,entry_z,pnl,trades,entries
RECTANGLE,TRIANGLE,product,1.2,3125.0,62,16
CIRCLE,TRIANGLE,spread,1.5,3060.0,42,11
OVAL,RECTANGLE,spread,1.5,2930.0,62,16
OVAL,SQUARE,sum,1.8,2730.0,38,10
CIRCLE,RECTANGLE,product,2.5,2580.0,8,2
CIRCLE,RECTANGLE,sum,2.5,1700.0,8,2
CIRCLE,RECTANGLE,product,2.0,1530.0,16,4
RECTANGLE,TRIANGLE,sum,1.2,1505.0,62,16
CIRCLE,OVAL,product,1.5,1235.0,30,8
CIRCLE,OVAL,sum,1.5,915.0,30,8
RECTANGLE,SQUARE,sum,2.5,860.0,12,3
CIRCLE,RECTANGLE,sum,2.0,790.0,16,4
RECTANGLE,TRIANGLE,product,1.0,455.0,74,19
CIRCLE,RECTANGLE,product,1.5,300.0,20,5
CIRCLE,RECTANGLE,sum,1.5,110.0,20,5
RECTANGLE,TRIANGLE,product,2.0,-95.0,30,8
RECTANGLE,TRIANGLE,spread,1.0,-145.0,70,18
RECTANGLE,TRIANGLE,sum,2.0,-385.0,30,8
SQUARE,TRIANGLE,sum,2.5,-770.0,16,4
CIRCLE,TRIANGLE,spread,2.5,-1420.0,14,4
CIRCLE,RECTANGLE,product,1.8,-1700.0,16,4
OVAL,SQUARE,sum,2.5,-2080.0,12,3
CIRCLE,RECTANGLE,sum,1.8,-2130.0,16,4
OVAL,SQUARE,sum,1.0,-2640.0,102,26
RECTANGLE,TRIANGLE,sum,1.0,-3645.0,70,18
RECTANGLE,TRIANGLE,product,2.5,-4525.0,18,5
OVAL,RECTANGLE,spread,2.0,-5100.0,42,11
OVAL,RECTANGLE,spread,2.5,-5100.0,30,8
CIRCLE,OVAL,product,1.2,-5145.0,34,9
CIRCLE,SQUARE,ratio,2.5,-5600.0,4,1
SQUARE,TRIANGLE,sum,1.5,-5680.0,32,8
CIRCLE,OVAL,sum,1.2,-5685.0,34,9
OVAL,SQUARE,sum,1.5,-7020.0,42,11
CIRCLE,TRIANGLE,ratio,2.5,-8230.0,10,3
