,0
mm_realistic_3day,-668734.0
mm_passive_at_best_3day,-590677.5
imb_OOS_d3d4,-14310.0
vwmp_OOS_d3d4,0.0
imb_hold_OOS_d3d4,-890.0
imb_hold_n_pos_OOS,0.0
imb_hold_n_both_days_pos,0.0
