symbol,ema_n,theta,exit_t,PnL,nfb,nfs,nx
NYLON,10,0.5,5,0.0,0,0,0
NYLON,10,0.5,20,0.0,0,0,0
NYLON,10,0.5,50,0.0,0,0,0
NYLON,10,0.5,200,0.0,0,0,0
NYLON,20,0.1,5,-1425.0,125,120,132
NYLON,20,0.1,20,-1094.0,125,120,107
NYLON,20,0.1,50,-3489.0,125,120,75
NYLON,20,0.1,200,-11468.0,112,108,30
NYLON,20,0.2,5,0.0,0,0,0
NYLON,20,0.2,20,0.0,0,0,0
NYLON,20,0.2,50,0.0,0,0,0
NYLON,20,0.2,200,0.0,0,0,0
NYLON,20,0.3,5,0.0,0,0,0
NYLON,20,0.3,20,0.0,0,0,0
NYLON,20,0.3,50,0.0,0,0,0
NYLON,20,0.3,200,0.0,0,0,0
NYLON,20,0.5,5,0.0,0,0,0
NYLON,20,0.5,20,0.0,0,0,0
NYLON,20,0.5,50,0.0,0,0,0
NYLON,20,0.5,200,0.0,0,0,0
NYLON,50,0.1,5,-33.0,2,5,4
NYLON,50,0.1,20,121.0,2,5,4
NYLON,50,0.1,50,-188.0,2,5,4
NYLON,50,0.1,200,-759.0,2,5,4
NYLON,50,0.2,5,0.0,0,0,0
NYLON,50,0.2,20,0.0,0,0,0
NYLON,50,0.2,50,0.0,0,0,0
NYLON,50,0.2,200,0.0,0,0,0
NYLON,50,0.3,5,0.0,0,0,0
NYLON,50,0.3,20,0.0,0,0,0
NYLON,50,0.3,50,0.0,0,0,0
NYLON,50,0.3,200,0.0,0,0,0
NYLON,50,0.5,5,0.0,0,0,0
NYLON,50,0.5,20,0.0,0,0,0
NYLON,50,0.5,50,0.0,0,0,0
NYLON,50,0.5,200,0.0,0,0,0
POLYESTER,10,0.1,5,-2329.0,128,135,209
POLYESTER,10,0.1,20,-3125.0,128,135,189
POLYESTER,10,0.1,50,-1184.0,128,135,135
POLYESTER,10,0.1,200,-8216.0,126,135,53
POLYESTER,10,0.2,5,-20.0,0,3,2
POLYESTER,10,0.2,20,-108.0,0,3,2
POLYESTER,10,0.2,50,8.0,0,3,2
POLYESTER,10,0.2,200,-238.0,0,3,2
POLYESTER,10,0.3,5,0.0,0,0,0
POLYESTER,10,0.3,20,0.0,0,0,0
POLYESTER,10,0.3,50,0.0,0,0,0
POLYESTER,10,0.3,200,0.0,0,0,0
POLYESTER,10,0.5,5,0.0,0,0,0
POLYESTER,10,0.5,20,0.0,0,0,0
POLYESTER,10,0.5,50,0.0,0,0,0
POLYESTER,10,0.5,200,0.0,0,0,0
POLYESTER,20,0.1,5,-120.0,4,9,9
POLYESTER,20,0.1,20,-107.0,4,9,9
POLYESTER,20,0.1,50,201.0,4,9,9
POLYESTER,20,0.1,200,-509.0,4,9,7
POLYESTER,20,0.2,5,0.0,0,0,0
