a,b,sign,entry_z,d2_pnl,d2_cyc,d3_pnl,d3_cyc,d4_pnl,d4_cyc,tot_pnl
AMBER,YELLOW,spread,1.8,2250.0,3,5050.0,4,320.0,2,7620.0
MAGENTA,ORANGE,sum,1.5,10920.0,13,7560.0,6,-10950.0,1,7530.0
MAGENTA,RED,spread,1.2,-5780.0,2,6610.0,6,6450.0,6,7280.0
RED,YELLOW,spread,2.0,-2810.0,1,18820.0,7,-8900.0,1,7110.0
ORANGE,RED,sum,2.0,1930.0,2,5270.0,2,-240.0,2,6960.0
AMBER,YELLOW,spread,1.5,2230.0,4,5150.0,5,-540.0,2,6840.0
RED,YELLOW,spread,1.0,1040.0,4,14260.0,15,-8890.0,3,6410.0
RED,YELLOW,spread,1.2,3030.0,4,12250.0,9,-8950.0,2,6330.0
AMBER,MAGENTA,sum,1.5,3420.0,7,690.0,4,2120.0,3,6230.0
AMBER,MAGENTA,sum,1.8,2930.0,5,-380.0,3,3650.0,2,6200.0
MAGENTA,RED,spread,1.8,-3090.0,2,1620.0,2,7520.0,4,6050.0
MAGENTA,YELLOW,spread,1.8,940.0,5,16030.0,6,-10970.0,1,6000.0
AMBER,ORANGE,spread,2.0,14360.0,7,-9270.0,1,650.0,2,5740.0
AMBER,MAGENTA,spread,1.8,2770.0,5,6850.0,5,-3880.0,2,5740.0
RED,YELLOW,spread,1.5,3640.0,3,10560.0,7,-8560.0,2,5640.0
AMBER,YELLOW,spread,1.0,2160.0,7,5190.0,8,-1980.0,2,5370.0
AMBER,MAGENTA,spread,2.0,2290.0,3,6210.0,4,-3380.0,2,5120.0
AMBER,MAGENTA,spread,1.5,1230.0,5,4020.0,5,-260.0,3,4990.0
AMBER,ORANGE,spread,1.2,7920.0,11,-6220.0,2,2840.0,4,4540.0
AMBER,YELLOW,sum,1.5,7470.0,7,8810.0,5,-11940.0,2,4340.0
AMBER,MAGENTA,sum,2.0,2750.0,4,-3790.0,2,5190.0,2,4150.0
MAGENTA,ORANGE,sum,1.2,10780.0,17,4400.0,7,-11310.0,1,3870.0
AMBER,ORANGE,spread,1.5,11380.0,9,-9680.0,1,1980.0,3,3680.0
MAGENTA,RED,spread,1.5,-4240.0,2,-380.0,2,7560.0,5,2940.0
AMBER,MAGENTA,spread,1.2,2430.0,8,2360.0,6,-2190.0,3,2600.0
RED,YELLOW,spread,1.8,-3390.0,1,14800.0,7,-8900.0,1,2510.0
AMBER,RED,spread,1.8,-9770.0,1,6650.0,4,4730.0,3,1610.0
AMBER,YELLOW,sum,1.2,3760.0,7,10670.0,7,-13510.0,2,920.0
AMBER,RED,spread,1.0,-5680.0,3,480.0,5,5690.0,6,490.0
AMBER,YELLOW,sum,1.0,5030.0,11,9940.0,9,-14540.0,2,430.0
AMBER,ORANGE,spread,1.0,7030.0,13,-6620.0,3,10.0,4,420.0
MAGENTA,YELLOW,spread,2.0,-1130.0,3,10880.0,4,-10840.0,1,-1090.0
ORANGE,YELLOW,spread,1.5,11080.0,12,7460.0,6,-22030.0,1,-3490.0
AMBER,RED,spread,2.0,-9770.0,1,-2660.0,1,7070.0,3,-5360.0
ORANGE,YELLOW,spread,1.8,10100.0,9,6070.0,5,-21910.0,1,-5740.0
ORANGE,YELLOW,spread,1.2,9600.0,14,2450.0,6,-21940.0,2,-9890.0
ORANGE,YELLOW,spread,1.0,9410.0,19,2060.0,10,-22020.0,2,-10550.0
ORANGE,YELLOW,spread,2.0,5990.0,5,-650.0,3,-21730.0,1,-16390.0
